hash	title	auto_verified	verified	checked	file_loc	citation	len(ref_list)
('Inexact graph matching using genetic search', 1997)	Inexact graph matching using genetic search	1	1	1	./bibliographies\database36.txt	Andrew D.J. Cross, Richard C. Wilson Edwin R. Hancock, Inexact graph matching using genetic search	40
('Local graph alignment and motif search in biological networks', 2004)	Local graph alignment and motif search in biological networks	1	1	1	./bibliographies\database37.txt	Johannes Berg, Michael Lässig, Local graph alignment and motif search in biological networks	23
('Path Similarity Skeleton Graph Matching', 2008)	Path Similarity Skeleton Graph Matching	1	1	1	./bibliographies\database38.txt	Xiang Bai, Longin Jan Latecki, Path Similarity Skeleton Graph Matching	50
('Bayesian Models and Gibbs Sampling Strategies for Local Graph Alignment and Motif Identification in Stochastic Biological Networks', 2009)	Bayesian Models and Gibbs Sampling Strategies for Local Graph Alignment and Motif Identification in Stochastic Biological Networks	1	1	1	./bibliographies\database40.txt	Rui Jiang, Ting Chen, Fengzhu Sun, Bayesian Models and Gibbs Sampling Strategies for Local Graph Alignment and Motif Identification in Stochastic Biological Networks	33
('Algorithms for Large, Sparse Network Alignment Problems', 2009)	Algorithms for Large, Sparse Network Alignment Problems	1	1	1	./bibliographies\database42.txt	Mohsen Bayati, Margot Gerritsen, David F. Gleich, Amin Saberi, Ying Wang, Algorithms for Large Sparse Network Alignment Problems	23
('SEGA: Semiglobal Graph Alignment for Structure-Based Protein Comparison', 2011)	SEGA: Semiglobal Graph Alignment for Structure-Based Protein Comparison	1	1	1	./bibliographies\database43.txt	Marco Mernberger, Gerhard Klebe, Eyke Hullermeier, SEGA: Semiglobal Graph Alignment for Structure-Based Protein Comparison	59
('Shape matching based on graph alignment using hidden Markov models', 2010)	Shape matching based on graph alignment using hidden Markov models	1	1	1	./bibliographies\database44.txt	Xiaoning Qian, Byung-Jun Yoon, Shape matching based on graph alignment using hidden Markov models	18
('An Inexact Graph Comparison Approach in Joint Eigenspace', 2008)	An Inexact Graph Comparison Approach in Joint Eigenspace	1	1	1	./bibliographies\database45.txt	Wan-Jui Lee, Robert P. W. Duin, An Inexact Graph Comparison Approach in Joint Eigenspace	12
('Probabilistic Biological Network Alignment', 2013)	Probabilistic Biological Network Alignment	1	1	1	./bibliographies\database47.txt	Andrei Todor, Alin Dobra, Tamer Kahveci, Probabilistic Biological Network Alignment	37
('MAGNA++: Maximizing Accuracy in Global Network Alignment via both node and edge conservation', 2015)	MAGNA++: Maximizing Accuracy in Global Network Alignment via both node and edge conservation	1	1	1	./bibliographies\database48.txt	V. Vijayan, V. Saraph, T. Milenković, MAGNA++: Maximizing Accuracy in Global Network Alignment via both node and edge conservation	15
('Popularity versus similarity in growing networks', 2012)	Popularity versus similarity in growing networks	1	1	1	./bibliographies\database49.txt	Fragkiskos Papadopoulos, Maksim Kitsak, M. �\x81ngeles Serrano, Marián Boguñá & Dmitri Krioukov, Popularity versus similarity in growing networks	30
('An Algorithm for Subgraph Isomorphism', 1976)	An Algorithm for Subgraph Isomorphism	1	1	1	./bibliographies\database5.txt	J. R. Ullmann, An algorithm for subgraph isomorphism	11
('Network similarity via multiple social theories', 2013)	Network similarity via multiple social theories	1	1	1	./bibliographies\database51.txt	Michele Berlingerio, Danai Koutra, Tina Eliassi-Rad, Christos Faloutsos, Network similarity via multiple social theories	1
('Iterative methods for low rank approximation of graph similarity matrices', 2013)	Iterative methods for low rank approximation of graph similarity matrices	1	1	1	./bibliographies\database52.txt	T.P.Cason, P.A.Absil, P.Van Dooren, Iterative methods for low rank approximation of graph similarity matrices☆	14
('Fast and Scalable Approximate Spectral Matching for Higher Order Graph Matching', 2014)	Fast and Scalable Approximate Spectral Matching for Higher Order Graph Matching	1	1	1	./bibliographies\database56.txt	Soonyong Park, Sung-Kee Park, Martial Hebert, Fast and Scalable Approximate Spectral Matching for Higher Order Graph Matching	60
('Spectral clustering for divide-and-conquer graph matching', 2015)	Spectral clustering for divide-and-conquer graph matching	1	1	1	./bibliographies\database57.txt	Vince Lyzinski, Daniel L. Sussman, Donniell E. Fishkind, Henry Pao, Li Chen, Joshua T. Vogelstein, Youngser Park, Carey E. Priebe, Spectral clustering for divide-and-conquer graph matching	39
('The Principal Components Analysis of a Graph, and Its Relationships to Spectral Clustering', 2004)	The Principal Components Analysis of a Graph, and Its Relationships to Spectral Clustering	1	1	1	./bibliographies\database58.txt	Marco Saerens, Francois Fouss, Luh Yen, Pierre Dupont, The Principal Components Analysis of a Graph and Its Relationships to Spectral Clustering	38
('Inexact Matching of Large and Sparse Graphs Using Laplacian Eigenvectors', 2009)	Inexact Matching of Large and Sparse Graphs Using Laplacian Eigenvectors	1	1	1	./bibliographies\database59.txt	David Knossow, Avinash Sharma, Diana Mateus, Radu Horaud, Inexact Matching of Large and Sparse Graphs Using Laplacian Eigenvectors	13
('Replicator Equations, Maximal Cliques, and Graph Isomorphism', 1999)	Replicator Equations, Maximal Cliques, and Graph Isomorphism	1	1	1	./bibliographies\database6.txt	Marcello Pelillo, Replicator Equations Maximal Cliques and Graph isomorphism	54
('A Probabilistic Approach to Spectral Graph Matching', 2013)	A Probabilistic Approach to Spectral Graph Matching	1	1	1	./bibliographies\database60.txt	Amir Egozi, Yosi Keller, Hugo Guterman, A Probabilistic Approach to Spectral Graph Matching	37
('Graph matching applications in pattern recognition and image processing', 'None')	Graph matching applications in pattern recognition and image processing	1	1	1	./bibliographies\database61.txt	D. Conte, P. Foggia, C. Sansone, M. Vento, Graph matching applications in pattern recognition and image processing	0
('Kernel Approach to Molecular Similarity Based on Iterative Graph Similarity', 2007)	Kernel Approach to Molecular Similarity Based on Iterative Graph Similarity	1	1	1	./bibliographies\database62.txt	Matthias Rupp, Ewgenij Proschak, Gisbert Schneider, Kernel Approach to Molecular Similarity Based on Iterative Graph Similarity	36
('Towards Bridging the Gap between Statistical and Structural Pattern Recognition: Two New Concepts in Graph Matching', 2001)	Towards Bridging the Gap between Statistical and Structural Pattern Recognition: Two New Concepts in Graph Matching	1	1	1	./bibliographies\database63.txt	H. Bunke, S. Günter, X. Jiang, Towards Bridging the Gap between Statistical and Structural Pattern Recognition: Two New Concepts in Graph Matching	26
('The graph matching problem', 2012)	The graph matching problem	1	1	1	./bibliographies\database64.txt	Lorenzo Livi, Antonello Rizzi, The graph matching problem	134
('A Global Constraint for Graph Isomorphism Problems', 2004)	A Global Constraint for Graph Isomorphism Problems	1	1	1	./bibliographies\database65.txt	Sébastien Sorlin, Christine Solnon, A Global Constraint for Graph Isomorphism Problems	21
('Planar Graph Isomorphism is in Log-Space', 2009)	Planar Graph Isomorphism is in Log-Space	1	1	1	./bibliographies\database67.txt	Samir Datta, Nutan Limaye, Prajakta Nimbhorkar, Thomas Thierauf, Fabian Wagner, Planar Graph Isomorphism is in Log-Space	34
('Many-to-many graph matching via metric embedding', 'None')	Many-to-many graph matching via metric embedding	1	1	1	./bibliographies\database68.txt	Y. Keselman, A. Shokoufandeh, M.F. Demirci, S. Dickinson, Many-to-many graph matching via metric embedding	0
('Morphological elastic graph matching applied to frontal face authentication under well-controlled and real conditions', 2000)	Morphological elastic graph matching applied to frontal face authentication under well-controlled and real conditions	1	1	1	./bibliographies\database69.txt	C. Kotropoulos, A. Tefas, I. Pitas, Morphological elastic graph matching applied to frontal face authentication under well-controlled and real conditions	27
